temperature,humidity,ambient_light,soil_moisture,decay_rate
24,40,3022,49.0,365.9633731657357
24,40,2814,48.0,351.12037635422746
24,40,2897,47.0,357.8453060586292
24,40,2892,46.0,358.84663104316417
24,40,2715,45.0,323.32975036069234
24,40,2742,44.0,386.6875091234084
24,40,2417,43.0,355.3380360348303
24,40,2379,42.0,357.05040659115053
24,40,2335,41.0,354.78246266924725
24,40,2653,40.0,352.7286056138521
24,40,2647,39.0,355.4991321377437
24,40,2362,38.0,357.26109355239
24,40,2443,36.0,478.53952925933584
24,40,1987,32.0,356.27616588653734
24,40,2082,31.0,359.4509745814243
24,40,2090,30.0,352.3211603110213
24,40,1938,29.0,346.4242235983604
24,40,1988,28.0,368.0568754200065
24,40,2234,27.0,342.1047730077813
24,40,1916,26.0,326.2081617644527
24,40,1775,25.0,138.1748893391855
24,40,1781,23.0,2058.7068861743824
24,40,1935,22.0,366.11823849531913
24,40,1782,78.0,354.29294298649074
24,40,1550,77.0,355.52254901767145
24,40,1498,76.0,348.7088763263288
24,40,1293,75.0,358.0252401827242
24,40,1422,74.0,352.146395864784
24,40,1370,73.0,353.95619792050735
24,40,1532,72.0,350.54059201632117
24,40,1531,71.0,219.82427857793476
24,40,1615,70.0,388.71856657005213
24,40,1809,69.0,328.4566342811467
24,40,1902,68.0,393.1507031827952
24,40,1812,67.0,357.31282887047956
24,40,2058,61.0,379.1882660612388
24,40,2137,58.0,367.29802817073846
24,40,2073,57.0,367.4647899831548
24,40,1931,56.0,352.26762005941
24,40,2146,55.0,351.2439107965353
24,40,2301,54.0,353.0275990112481
24,40,2125,53.0,353.2139823287045
24,40,2265,52.0,360.45525498704865
24,40,2426,51.0,356.45396035697274
24,40,2323,50.0,341.76158540921057
24,40,2353,49.0,358.3072134010083
24,40,2393,48.0,360.2582691531559
24,40,2531,47.0,345.8206280275515
24,40,2460,46.0,348.555527800208
24,40,2026,45.0,356.9502881282895
24,40,2261,44.0,345.59842960073587
24,40,2418,43.0,358.12617640718474
24,40,2198,42.0,361.29897821638133
24,40,1844,41.0,346.57073075401274
24,40,1783,40.0,346.3721605300264
24,40,1884,39.0,361.0615932966107
24,40,1952,38.0,345.83109263604564
24,40,1864,37.0,358.71629785649077
24,40,1893,36.0,360.2794327280239
24,40,1831,35.0,347.30844636776146
24,40,2083,34.0,330.8967384335735
24,40,1891,33.0,373.873123040087
24,40,1626,32.0,348.535280483767
24,40,1767,31.0,359.0918566944198
24,40,1825,30.0,361.36182818570063
24,40,2070,29.0,337.4792028441247
24,40,1955,28.0,362.68053557034693
24,40,1946,27.0,349.82553423217763
24,40,2167,26.0,354.4536510498326
24,40,2138,25.0,350.6444894416561
24,40,2119,24.0,364.5311218445275
24,40,1817,23.0,348.2694491073854
24,40,1716,22.0,358.40195735255645
24,40,1644,21.0,349.52908722809065
24,40,1637,79.0,365.1630031857429
24,40,1760,78.0,339.9919497461677
24,40,1876,77.0,323.88425024664684
24,40,2053,76.0,347.0058121545726
24,40,2044,75.0,403.0103530001266
24,40,1838,74.0,346.6010948743475
24,40,1948,73.0,365.0184932563848
24,40,1865,72.0,340.97276498982575
24,40,1909,71.0,359.52908879949047
24,40,1823,70.0,348.1723755008121
24,40,1848,69.0,358.8375100025956
24,40,1761,68.0,346.90713498358986
24,40,1918,67.0,365.61474564893064
24,40,2092,66.0,346.4081897054414
24,40,1905,65.0,349.2944736762952
24,40,1734,64.0,355.09881956274904
24,40,1992,63.0,350.2306998806006
24,40,1855,62.0,353.95623272189687
24,40,1967,61.0,353.5149798044748
24,40,2038,60.0,356.6841924105134
24,40,2262,59.0,347.99278726949586
24,40,2452,58.0,316.70703508374964
24,40,2167,57.0,400.01857864065244
24,40,2261,56.0,352.9920142420512
24,40,1976,55.0,358.08905774335267
24,40,2176,52.0,355.37798940756414
24,40,2091,51.0,359.54004042628264
24,40,2015,50.0,354.13168386664574
24,40,2344,49.0,359.30840318554846
24,40,2382,48.0,354.89427798040714
24,40,2295,47.0,355.30002027184
24,40,2365,46.0,352.0772754852114
24,40,2440,45.0,355.06456701207543
24,40,2183,44.0,349.1168749229639
24,40,2045,43.0,355.88289752342087
24,40,2173,42.0,340.7490421165816
24,40,1920,41.0,351.9858798908805
24,40,1672,40.0,353.8047375240588
24,40,2057,39.0,360.31163353184166
24,40,2019,38.0,335.14925266836985
24,40,2063,37.0,377.89796565978196
24,40,1885,36.0,351.1846335651737
24,40,1670,35.0,350.15350827067454
24,40,1610,34.0,352.60768565259895
24,40,1337,33.0,356.3719905870278
24,40,1649,32.0,360.81095871079833
24,40,1828,31.0,344.6951889169007
24,40,1811,30.0,353.5504617663656
24,40,1941,29.0,355.35238173453223
24,40,1921,28.0,349.1201590125951
24,40,1888,27.0,351.1250338689356
24,40,1805,26.0,371.17879166868585
24,40,2105,25.0,344.01917409979023
24,40,1927,24.0,352.6231587806252
24,40,1791,23.0,351.4511956808991
24,40,1702,22.0,358.6927800324498
24,40,1711,21.0,349.1473143685564
24,40,2026,79.0,340.91635475187684
